Texto,Interes
Hay que refrescarle la memoria a los zurdos que alegan porque el presidente Piñera esta despidiendo gente,-1
"La DC., con pataleta por la aparición de C. Goic  en TV con el Presidente Piñera sobre el llamado a la Comisión de Seguridad, mostrando  el carácter de totalitarismo de izquierda de la DC.",-1
"A la izquierda no le gusta nada la clase media , es numerosa esforzada y no les venden cuentos. Piñera será el presidente de la clase media.",-1
"Presidencia de Chile, Señor Piñera, hasta cuando tendremos que ver morir en la carcel a los hombres que nos salvaron del marxismo y por los cuales hoy Usted puede ser presidente. Indulte ya a los enfermos terminales y mas ancianos. Ellos son heroes",-1
Las comisiones pre-legislativas de Piñera son las pomadas mas grandes vendidas desde los quesitos de madame Gil,-1
"Johnny Carrasco, alcalde de Pudahuel, se integró a la comisión de seguridad de Piñera y no aceptó órdenes del partido, como el pelele Insulza (dadas por socialistas Juan Pablo Letelier, Maya Fernández Allende, Isabel Allende, Alfonso de Urresti y Rabindranath Quinteros",-1
"¿Así que el Gobierno de Piñera planea destituir a todo el consejo de Instituto de Derechos Humanos?
Bueno.. Si fueron capaces de violarlos sistemáticamente, como no van a ser capaces de disolver a sus representantes.",-1
La postura de Piñera durante la campaña consisitio en dejar fuera a los menores en la ley de identidad de genero. Modificarla ahora implicaria una traicion a su electorado.,-1
Es de esperar que nuestros camaradas que con tanto entusiasmo asisten a las comisiones de Piñera se hagan el tiempo en La Moneda para protestarle al Presidente por el atropello de los derechos laborales de cientos de demócrata cristianos despedidos de sus trabajos en estos días.,-1
"Cuando estaba la soa Bachelet, decían que las cifras de inmigración eran falsas porque ella tenía un negocio con la ONU (ridiculez máxima xd) y ahora, que el gobierno de Piñera entrega nuevamente cifras no las creen pq anteponen percepción a evidencia, están de patio",-1
"No me causa gracia las tonteras de Piñera. Los emboba haciéndose el inocente tontito, para que la opinión de centre en eso. Pero de inocente y tontito nada, se la sabe por libro, así su política pasa a segundo plano. OJO ahí !",-1
"Una imagen comunica - en este caso informa - más q 100 palabras. La falta de foco estratégico en la DC es total. Aunque por el lado de Goic no debería sorprender, mal que mal el 100% de sus votos de primera vuelta se fueron al candidato Piñera en la segunda.",-1
"Sra. peruana acogida en Chile y su comentario mala leche...Piñera jugando tenis en club de Fernando González, en el día del deporte e inicio de Copa Davis con Argentina.…",-1
"Esto es lo que busca Piñera, quedar como el héroe y los imbéciles siguen cayendo, él no busca el bien público, busca lucirse y sacar réditos políticos, como esta portada, como tan ciegos y weones?? ",-1
"El periodismo no es el problema sino lo penca que son casi todos los líderes de derecha, Piñera se caga entero en entrevistas (perdonen el francés), al único que le tienen miedo y nadie lo ha dejado callado es a @joseantoniokast Ese se los pasea como quiere",-1
"Me desaparezco un día de Twitter y en Brasil esta la cagá, Piñera rompiendo el récord de Piñericosa por día y se robaron el sol.",-1
"500 millones de dolares en viaticos , autos y chaya reducirá el gobierno para destinar al aumento subvencion por niño de Sename. Bravo Piñera. 

Pd al que no le parezca , que chupe la que cuelga.

",-1
"Los ""Grandes Acuerdos por Chile"" a los que invita Piñera, NO tienen color político. La izquierda comete error histórico al restarse. Peor aún, justificar ausencia con pequeñeces como: ""Es que se debe invitar a través de los Partidos"". Familias chilenas los castigarán otra vez",-1
"El Gobierno esta trabajando para la creacion de un nuevo credito para la educacion superior y que presentara en 90 dias, no considera condonar deudas e intereses para los deudores del CAE (Min de Educ de Piñera)
Que Salio Caro el NO LLAMAR E IR A VOTAR, Todos a Luchar Unidos",-1
"Derrota dura para Piñera: El Panzer no irá a ninguna ""comisión"" 
 El senador PS leyó lo evidente pero que ""izquierdistas"" no quisieron saber: que las ""comisiones"" de Piñera son artilugios mediáticos para el lucimiento del Pdte. y una eficaz herramienta para dividir a la oposición",-1
"Esta oposición de izquierda, no está a la altura de lo que Chile demanda de ellos y los van a castigar en las urnas. La gente al votar por Piñera, votó también por su discurso de diálogo y acuerdos y esta oposición le está negando ""la sal y el agua"". ",-1
"Piñera no tiene expertos ni apoyo suficiente para proyectarse, pero son muy hábiles, inventan comisiones e invitan líderes d la oposición para suplir la falta de experiencia. Bien × Insulza, no hay q pisar el palito, en el parlamento se sacan las leyes y no en una ""cuarta camara""",-1
