	0	Interes
0	ojala obliguen a piñera a cerrar punta peuco es tan hoc mi reina	0
1	piñera para crear base de apoyo moderada a su gobierno gobernabilidad democratica  debe dar señales fuertes hacia la dc y sectores liberales	1
2	cnnchile memoria  adimark piñera termina su gobierno con un  de aprobacionbachelet con  	1
3	ppk y piñera en privado habrian conversado algo asi ppkno te preocupes sebas q pase todo este circo de mi vacancia y reiniciamos negocios como antes  piñerapero ppk  hay q reunirnos tambien con tu vice por si las moscas ppknonono y piñera ji ji jiqhuon eres	0
4	bachelet entregara el gobierno de chile a piñera	1
5	bloq pal piñera	0
6	elnacionalweb pues esa precion llevara a piñera a un estado de sequedad	0
7	podra piñera convertir a chile en un pais del primer mundo	1
8	marcemorenomend por todo esto gracias pdte piñera el guiña	0
9	ja ja ja te repito yo no apoyo a ladrones como piera y tampoco a traidores como la dc ppd pc ps nm y la concertacin eso no mas	0
10	cierrepuntapeuco consagra tanto a mb broche de oro politico a su gobierno como a piñera piñera romperia histo httpstcoienkuzbzy	1
11	un millar de invitados estaran presentes en la investidura presidencial de piñera en chile	1
12	macri asistira este domingo a la asuncion del presidente de chile sebastian piñera	1
13	ppk y piñera se reunieron en academia diplomatica de chile	0
14	como seria si evo mañana se pone jugosofuera de control  y piñera no pueda asumir puta que seria lindo	1
15	fracaso la campaña de el mercurio para impedir acuerdo de la centroizquierda en el parlamento mañana piñera asumira escoltado por dos socialistas en las presidencias del senado y la camara de diputados	0
16	macri viajara a chile para la asuncion de sebastian piñerael presidente argentino mantendra una reunion bilateral con su par trasandino y tambien tendra una cumbre con el mandatario brasileño michel temer	1
17	no quiero que sea mañana  piñera ctm	0
18	la presidenta saliente de chile michelle bachelet y su sucesor sebastian piñera multiplicaron hoy sus actividades concentradas en reuniones con gobernantes e invitados extranjeros a participar este domingo en la ceremonia de cambio de mando en el pais austral	1
19	el presidente boliviano evo morales llego hoy a chile para asistir mañana a la juramentacion del presidente electo chileno sebastian piñera	1
20	coincido piñera no se hara problema le importa mas su imagen y quedar bien con dios y con el diablo era mal menor	0
21	ppk y piñera se reunieron en academia diplomatica de chile	0
22	mauricio macri viaja a chile para asistir a la asuncion de piñera  el presidente mantendra una reunion bilateral con el flamante mandatario chileno y con su colega de brasil michel temer	1
23	piñera culiao no te queremossssss 	0
24	a un dia de tomar el mando sebastian piñera le viene un infarto fulminante y muere asume el futuro presidente del senado	1
25	la foto oficial del presidente piñera pudo haber sido un poco mas solemne	1
26	opinion  podra piñera convertir a chile en un pais del primer mundo httpstcooxdxgptfa httpstcoipivsnex	1
27	como primer acto oficial piñera ira a un centro del sename en los  años de su gobierno anterior ni se acordo de los niños abusados	1
28	sebastian piñera y donald trump podrian encontrarse en la cumbre de las americas en lima	0
29	estoyconpinera sebastianpinera sebastian piñera juntos  cambia	0
30	el nuevo gobierno de sebastian piñera tiene prisa por tramitar la ley de migracion	1
31	video  cecilia morel dice que piñera no le pega codazos y da particular explicacion	1
32	reunion con juan carlos i y otras autoridades revisa las imagenes de las audiencias oficiales de sebastian piñera	1
33	ahollstein imbecil facho excelente presidenta de chile bachelet ahora estamos de duelo chile con piñera retrocede	1
34	sename la primera actividad como presidente de sebastian piñera	1
35	probablemente votaste por piñera o no votaste en las ultimas elecciones gracias gente como tu ahora nos mamamos  años de derecha	0
36	tras el banderazo evo va a la asuncion de piñera para ofrecerle un nuevo tiempo de soluciones	1
37	piñera culiao	0
38	cambiodemando alli baba piñera regresa con su sequito de imputados	1
39	michelle bachelet termina su mandato y empieza el gobierno de sebastian piñeraeste domingo sera el acto de asuncio httpstcodbzdqer	1
40	siento que cada vez que enfocan a piñera las arrugas me tratan de decir algo estilo el exorcista	0
41	cuando un gob dice a los  dias que ha hecho mas que en  años ahi empezo quiebreespero que piñera haya madurado	1
42	csm pensar que mañana asume el wn de piñera 	1
43	que bachelet firmo cierre de puntapeuco para manchar el inicio del gobierno de piñeraejem que se entendera por manchar salpicar sera po como que el sr anda embarrado hace rato	1
44	maggiaustral belaanjali jessygamboa kawaiiimin jajajajja si fuera bot no hubiera votado en las elecciones por algo gano piñera	0
45	dicen que cuando llego el ex rey de españa juan carlos piñera lo saludo como esta mi rey o sea bien amariconao jajajaa	0
46	macri estara este domingo en la asuncion de piñera	1
47	debo reconocer que este lunes sera mas dificil empezarlo con piñera como presidente	1
48	citrusnuances cuando gano piñera en el  un grupo de cuicosas llegaron celebrando a la moneda preguntando	0
49	si bachelet esta cerrando pta peuco de esta forma apostaria q esta conversado y acordado con piñera	0
50	cierrepuntapeuco lo que entendi va a ser piñera a quien le toque ccerrar punta p  jugada macabra	0
51	presidente moreno mantuvo reunion con sebastian piñera	0
52	piñera afirma que seguira luchando por restablecer la democracia en venezuela	0
53	pueden creer que soy mutual de ski victon sf piñera y peña nieto omg	0
54	infh crtst  piñera y bachelet multiplican sus actividades en la vispera del cambio de mando	1
55	marchademarzo contra piñera	0
56	y bien por el sename tonda ha trabajado en distintas areas y siendo mas bien de izquierda siempre ha contado con la confianza de piñera	0
57	me parece gran señal de sebastian piñera en iniciar sus actividades como presidente en el sename ltima prioridad	1
58	sebastian piñera promete no bajar la presion sobre venezuela estoy convencido de que en venezuela no hay democracia no hay estado de derecho no se respetan los derechos humanos y se esta viviendo una profunda crisis politica economica y social	1
59	que buen himno el de los argentinos por mauricio macri mm lpqtp hay que inventar uno para piñera	0
60	cuando piñera cerro el penal cordillera se suicido un weon si ahora se suicida otro  empate	0
61	bachelet solo dejo un decreto del cierre punta peuco  pero el nuevo gobierno de piñera tiene la ultima palabra si se cierra o no  	1
62	acabo de ver que piñera ocupa un beauty blender suddenly ya no me gusta el maquillaje	0
63	y que lo tenga que ejecutar piñera jajajaja queen total 	0
64	con la llegada de piñera tiempos oscuros se avecinan	1
65	menos mal el precidente electo es sebastian piera porke grasias a el abra mas travajo y menos ahitianos viva chile	0
66	piñera presenta a su gabinete 	1
67	ojala piñera no pueda gobernar los  anos completos	1
68	pucha imposible asistir mañana salgo tempranisimo a valpo aplaudir y vitorear  a presidente piera	1
69	la intensa jornada laboral de sebastian piñera en la academia diplomatica	0
70	macri se reunira con piñera y temer en marco de investidura enchile	1
71	justo ahora que voy a empezar a tirar mas chuchas pa piñera twitter le pone color esta wea es culpa de piñera ctmmmmm ah adjkridk	0
72	cotchino es piñera les dije yo	0
73	piñera no va a cerrar punta peuco tiene acciones alli cierrepuntapeuco	0
74	ppk viajo chile para la toma de mando de piñera 	1
75	una sucia jugada de la chanchi  dejar la ejecucion del cierre a  piñera porque ella ya no puede  asi es esta sucia corrupta 	1
76	piñera llego a cerro castillo en las horas previas al cambio de mando	1
77	piñera y bachelet multiplican sus actividades en la vispera del cambio de mando  el rey emerito de españa	1
78	piñera enfrentara desafios sociales a la vuelta del gobierno de chile	1
79	estaba super confundida no sabia por que sebastian piñera salia en mi tl y luego note que era la anto dhfujkasm	0
80	eldestapeweb sebastian piñera lpqtp splpqtp mmlpqtp	0
81	piñera recibira por segunda vez la banda presidencial de manos de bachelet	1
82	internacionales  sebastian piñera asumira por segunda ocasion la presidencia de chile	1
83	cuanto tiempo esta mujer se la jugo por los mineros de aysen igual que piñera por los  	0
84	ahora cambiodemando presi piñera llegando a cerrocastillo en helicoptero 	1
85	piñeratemertabaresmacritrimp	0
